title,brand,price,stars,reviews
"Gld 55"" Smart Vidaa OS Frameless Ultra HD LED Television - Black",Privacy and Cookie notice,"KSh 42,609",5 out of 5,(1 verified rating)
"Skyworth 55G3B, 55-inches 4K QLED 2022 Frameless Smart Android TV, Black (1YR WRTY)",Privacy and Cookie notice,"KSh 53,499",4.7 out of 5,(84 verified ratings)
Hikers 55'' Frameless Android Smart 4K LED TV - Black,Privacy and Cookie notice,"KSh 38,438",4.2 out of 5,(12 verified ratings)
"TCL 55"" P635 4K HDR Google TV - Black",Privacy and Cookie notice,"KSh 47,899",4.6 out of 5,(14 verified ratings)
"Hisense 55 INCH 4K ULTRA HD SMART TV, NETFLIX, BLUETOOTH",Privacy and Cookie notice,"KSh 54,699",5 out of 5,(2 verified ratings)
"Hisense 55"" Inch (55A6K) VIDAA OS LED Frameless Smart TV - Black (2YRS WRTY)",Privacy and Cookie notice,"KSh 53,120",4.6 out of 5,(9 verified ratings)
Vision Plus VP8855KV - 55″ 4K Frameless V+ OS Smart TV (2YRs WRTY),Privacy and Cookie notice,"KSh 41,199",4.7 out of 5,(26 verified ratings)
Vitron HTC5568US - 55? 4K Smart Android LED TV - Black (1YR WRTY),Privacy and Cookie notice,"KSh 42,290",4.2 out of 5,(33 verified ratings)
"Skyworth 55G3A, 55-inches 4K UHD Frameless Smart Android TV, Black (1YR WRTY)",Privacy and Cookie notice,"KSh 50,499",3.9 out of 5,(19 verified ratings)
TCL 55 Inches 55&rdquo; Smart UHD 4K With HDR Google TV Frameless &ndash; 2022,Privacy and Cookie notice,"KSh 52,695",5 out of 5,(5 verified ratings)
"Vitron HTC5568US 55"" Inch Frameless 4KUHD Smart Android TV+FREE TVGUARD+BRACKET",Privacy and Cookie notice,"KSh 44,999",4.6 out of 5,(15 verified ratings)
"Samsung 55"" 4K 2024 LATEST CRYSTAL UHD SMART TV With Voice Control-55DU7000",Privacy and Cookie notice,"KSh 69,999",5 out of 5,(1 verified rating)
"Samsung 55CU8000, 55 Inch Crystal UHD 4K Smart TV",Privacy and Cookie notice,"KSh 74,500",5 out of 5,(1 verified rating)
"Vitron HTC5568S,55 Inch Television 4K UHD Smart Android TV, Netflix, Youtube Bluetooth",Privacy and Cookie notice,"KSh 44,595",4.6 out of 5,(12 verified ratings)
"Vitron 55"" Inch FRAMELESS,BLUETOOTH,UHD 4k Android Smart TV,NETFLIX+GUARD+WALL BRACKET",Privacy and Cookie notice,"KSh 45,999",4.8 out of 5,(5 verified ratings)
"TCL 55'' 4K ULTRA HD GOOGLE TV, VOICE CONTROL, NETFLIX, BLUETOOTH 55P635",Privacy and Cookie notice,"KSh 55,800",4.8 out of 5,(17 verified ratings)
"Vision Plus VP8855KV, 55 Inch 4K Frameless Smart Android Bluetooth TV+ FREE WALL MOUNT",Privacy and Cookie notice,"KSh 45,999",0 out of 5,(No ratings available)
Hisense 55'' Inches Smart UHD 4K HDR Frameless LED TV (2022),Privacy and Cookie notice,"KSh 56,999",0 out of 5,(No ratings available)
"Vitron 55"" Inch ULTRA HD FRAMELESS 4K Android TELEVISION,BLUETOOTH+GIFTS.",Privacy and Cookie notice,"KSh 45,990",4.7 out of 5,(23 verified ratings)
"Vitron 5588USWO, 55"" 4K HDR Smart WeBOS TV, Netflix, Youtube PrimeVideo Bluetooth",Privacy and Cookie notice,"KSh 46,890",4 out of 5,(1 verified rating)
"Hisense 55'' Inch FRAMELESS 4K ULTRA HD SMART TV, BLUETOOTH+TV GUARD+BRACKET",Privacy and Cookie notice,"KSh 65,899",0 out of 5,(No ratings available)
"TCL 55T635 55” SMART 4K Frameless, ULTRA HD ANDROID-BLACK",Privacy and Cookie notice,"KSh 53,799",5 out of 5,(2 verified ratings)
"TCL 55” SMART 4K Frameless, ULTRA HD GOOGLE TV-BLACK",Privacy and Cookie notice,"KSh 52,599",1 out of 5,(1 verified rating)
"Vitron 55"" Inch Smart-Android,Bluetooth TV,FRAMELESS,ULTRA  HD,4K+WALLBRACKET",Privacy and Cookie notice,"KSh 44,999",4.8 out of 5,(8 verified ratings)
"Hisense  55'' Inch Smart UHD 4K Frameless LED TV, YouTube, Netflix - Black",Privacy and Cookie notice,"KSh 56,999",0 out of 5,(No ratings available)
"Vitron 5568US,55"" Inch FRAMELESS 4K UHD,BLUETOOTH,Android 11 TV+BRACKET",Privacy and Cookie notice,"KSh 45,799",4 out of 5,(1 verified rating)
TCL  55 C645&nbsp QLED 4K Quantum Dot Google TV Smart TV - Black,Privacy and Cookie notice,"KSh 65,999",0 out of 5,(No ratings available)
"Hisense 55'' Inch Smart UHD 4K Frameless LED TV, YouTube, Netflix - Black",Privacy and Cookie notice,"KSh 54,196",5 out of 5,(1 verified rating)
"Hisense 55'' Inch Smart UHD 4K Frameless LED TV, YouTube, Netflix - Black",Privacy and Cookie notice,"KSh 53,799",5 out of 5,(4 verified ratings)
"Skyworth 55"" 4K QLED 2022 LATEST GOOGLE TV,VOICE CONTROL,QUANTUM DOT,FRAMELESS-55G3B",Privacy and Cookie notice,"KSh 59,499",5 out of 5,(5 verified ratings)
"Samsung 55AU7000, 55 INCH 4K UHD Smart TV, Youtube, Netflix-Black",Privacy and Cookie notice,"KSh 75,899",4.3 out of 5,(3 verified ratings)
"Vitron HTC5568S,55"" Inches 4K UHD Smart Android TV,Netflix,Youtube+ Bluetooth",Privacy and Cookie notice,"KSh 44,999",3.8 out of 5,(11 verified ratings)
"LG 55"" 55UQ8000 LED TV - UHD, SMART, ThinQ 2023-FRAMELESS",Privacy and Cookie notice,"KSh 91,000",1 out of 5,(1 verified rating)
"Hisense 55” 4K UHD LATEST RELEASE MODEL,VOICE CONTROL,WI-FI,FRAMELESS,4K HDR",Privacy and Cookie notice,"KSh 53,973",4 out of 5,(1 verified rating)
"Vitron 55"" Inch,FRAMELESS 4K Ultra HD Smart Android TV,WI-FI+FREE HDMI CABLE",Privacy and Cookie notice,"KSh 44,999",5 out of 5,(1 verified rating)
Samsung  55CU7000 55'' Crystal UHD 4K Smart LED TV (2024),Privacy and Cookie notice,"KSh 72,499",5 out of 5,(2 verified ratings)
"TCL 55"" C645 QLED 4K UHD GOOGLE Smart TV",Privacy and Cookie notice,"KSh 66,990",0 out of 5,(No ratings available)
"Vitron FRAMELESS BLUETOOTH,4K UHD Android TV 1.5GBRAM,8GBROM-55"" Inch",Privacy and Cookie notice,"KSh 45,999",0 out of 5,(No ratings available)
"Skyworth 55G3B, 55-inches 4K QLED 2024 Frameless Smart Google  TV Youtube, Netflix And BT- Black",Privacy and Cookie notice,"KSh 57,899",0 out of 5,(No ratings available)
"Hisense  55'' Inch Smart UHD 4K Frameless LED TV, YouTube, Netflix - Black",Privacy and Cookie notice,"KSh 57,450",4.7 out of 5,(3 verified ratings)
